[2026-01-19 23:05:51] INFO     | logger > === Log rotation: new file created at 2026-01-19 23:05:51 ===
[2026-01-19 23:05:55] INFO     | MangaBuff.telegram_unified > 🤖 Telegram unified handler запущен
[2026-01-19 23:05:55] INFO     | MangaBuff.telegram_unified > ✅ Unified handler запущен
[2026-01-19 23:05:55] INFO     | MangaBuff.telegram_unified > 👁️  Мониторинг триггеров: смена карты, смена, заменить, замени, change card, replace
[2026-01-19 23:05:55] INFO     | MangaBuff.telegram_unified > 📱 Отправьте /start боту для регистрации
[2026-01-19 23:05:55] INFO     | MangaBuff.telegram_unified > 🔐 Валидация клуба: klub-taro-2
[2026-01-19 23:05:55] INFO     | MangaBuff.telegram_notifier > Telegram notifier использует прокси: Proxy: socks5://PrsRUS1HZZ1GZ:***@62.233.39.89:1080
[2026-01-19 23:05:55] INFO     | MangaBuff.telegram_notifier > Telegram bot connected: @fsdfewfewsfd_bot
[2026-01-19 23:05:56] INFO     | MangaBuff.utils > Монитор истории запущен (проверка каждые 60с)

[2026-01-19 23:05:58] INFO     | MangaBuff.utils > Всего загружено: 2519 карточек
[2026-01-19 23:05:58] INFO     | MangaBuff.inventory > 🔄 Синхронизация инвентаря с пропарсенными данными...
[2026-01-19 23:05:58] INFO     | MangaBuff.inventory > Пропарсенный инвентарь пустой, синхронизация не требуется
[2026-01-19 23:05:58] INFO     | MangaBuff.utils > Синхронизация завершена

[2026-01-19 23:05:58] INFO     | MangaBuff.boost > 📝 Card ID: 248362
[2026-01-19 23:05:58] INFO     | MangaBuff.boost > 📦 Получение информации из инвентаря владельца...
[2026-01-19 23:05:58] INFO     | MangaBuff.boost > 🔍 Поиск информации о карте 248362 через инвентарь владельца...
[2026-01-19 23:05:59] INFO     | MangaBuff.boost > ✅ Найдено: Сесилия | Ранг: D | Instance: 385075877
[2026-01-19 23:06:01] INFO     | MangaBuff.boost > 📊 Владельцев: 414 | Желающих: 107
[2026-01-19 23:06:02] INFO     | MangaBuff.boost > Участников клуба с этой картой не найдено
[2026-01-19 23:06:02] INFO     | MangaBuff.boost > ℹ️  Участников клуба с картой не найдено
[2026-01-19 23:06:02] INFO     | MangaBuff.boost > ✅ Информация о карте собрана: Сесилия (Ранг: D)
[2026-01-19 23:06:02] INFO     | MangaBuff.utils > Карточка для вклада:
[2026-01-19 23:06:02] INFO     | MangaBuff.telegram_notifier > База данных или участники недоступны, отправляем только во вклад
[2026-01-19 23:06:02] INFO     | MangaBuff.telegram_notifier > ℹ️  Участников клуба с картой нет
[2026-01-19 23:06:02] INFO     | MangaBuff.telegram_notifier > ℹ️  Тег не добавлен (все выбрали ЛС или нет привязок)
[2026-01-19 23:06:02] INFO     | MangaBuff.telegram_notifier > 📤 Отправка уведомления во вклад...
[2026-01-19 23:06:03] INFO     | MangaBuff.telegram_notifier > ✅ Уведомление отправлено во вклад
[2026-01-19 23:06:03] INFO     | MangaBuff.utils > Уведомление отправлено в Telegram
[2026-01-19 23:06:03] INFO     | MangaBuff.monitor > 🔄 Запущен мониторинг страницы: https://mangabuff.ru/clubs/klub-taro-2/boost
[2026-01-19 23:06:03] INFO     | MangaBuff.monitor > Проверка каждые 2 секунд...
[2026-01-19 23:06:03] INFO     | MangaBuff.monitor > Отслеживание: буст + смена карты в клубе
[2026-01-19 23:06:03] INFO     | MangaBuff.monitor > 📱 Telegram уведомления: ВКЛЮЧЕНЫ
[2026-01-19 23:06:03] INFO     | MangaBuff.monitor > Нажмите Ctrl+C для остановки
[2026-01-19 23:06:04] INFO     | MangaBuff.main > 🔄 Флаг card_changed сброшен - начинаем новую обработку
[2026-01-19 23:06:12] WARNING  | MangaBuff > 
Приложение прервано пользователем
[2026-01-19 23:06:12] INFO     | MangaBuff.telegram_unified > 🛑 Остановка unified handler...
[2026-01-19 23:06:17] INFO     | MangaBuff.telegram_unified > ✅ Unified handler остановлен
